"","waldStat","df","pvalue","logFClineage1","logFClineage2","logFClineage3","logFClineage4","logFClineage5","feature_id"
"1190002H23Rik",62.0253165958579,5,4.6331827263657e-12,-0.488599222806525,0.119613556887653,0.194354001232784,0.273386002850654,-0.102958118271464,"1190002H23Rik"
"Hist1h2be;Hist1h1e",59.0690772000101,5,1.89250837223653e-11,-0.131165827332992,-0.0264929856732905,-0.453892921044139,-0.00578288763204709,-0.0694846603506766,"Hist1h2be;Hist1h1e"
"Lgals3bp",56.6611729159925,5,5.93901594569957e-11,0.121428402768223,-0.125171574851343,-0.152167340648947,-0.283845638038826,-0.251750358582139,"Lgals3bp"
"Hsp90b1",55.2889891080362,5,1.13833609205471e-10,-0.120398837805716,0.106521297070646,-0.288504104268946,-0.180966761551525,-0.0525689118670361,"Hsp90b1"
"Cct3",54.717699434595,5,1.49210532818245e-10,0.17282831016887,0.0330362435871969,-0.0091839384469327,-0.0733921649565513,0.211400386184708,"Cct3"
"Klf1",54.7019596370453,5,1.50326862069505e-10,-0.0414862661521485,0.538062671878337,0.63438384721201,0.64019300292159,1.28181883481112,"Klf1"
"Ipo5",54.574784308173,5,1.59657953524572e-10,0.249349953960501,0.147589719672713,0.205323162262248,-0.045734425525566,0.0391341697091259,"Ipo5"
"Cad",53.2351141889485,5,3.00950153686586e-10,0.0328206335985502,-0.326339616392057,-0.154693364674023,-0.180742975682802,-0.22769159119169,"Cad"
"Slc29a1;Ent1",52.6376720813617,5,3.99160482444927e-10,0.0225959267929715,-0.252909377006148,-0.330235774281941,-0.224321550158552,-0.394081278179518,"Slc29a1;Ent1"
"Rps24",52.6301431223251,5,4.00583122228682e-10,0.269729685829903,0.0175738522075553,-0.168158060151861,-0.305493752618292,0.151416997788045,"Rps24"
"Nkg7",52.4078075040135,5,4.44956294032295e-10,-0.115277523214868,1.19550524807157,0.423568828915039,-0.0314637025067488,0.457834349593419,"Nkg7"
"Hemgn",51.9524468006442,5,5.51729439912663e-10,0.285610285863578,1.22613123010636,0.949997782659227,0.784246562053743,1.23956905369814,"Hemgn"
"Ifitm3",50.7950649203573,5,9.52645851093337e-10,0.265772842492914,0.0395144143110235,0.187559589938873,0.00555272992435454,0.30281227601439,"Ifitm3"
"SMC4;Smc4",50.6120516930653,5,1.03851260924159e-09,-0.0892640650752898,-0.249719468966339,-0.53232961256452,0.181063978927341,-0.168448159345336,"SMC4;Smc4"
"Fam107b",49.7822711845699,5,1.53549195580638e-09,0.107437684481976,-0.198432838028144,-0.301100102260103,-0.328822710966876,-0.198654976722029,"Fam107b"
"Isg20",48.0837767648154,5,3.41476913412464e-09,0.144529911773364,0.372837768654227,0.748469820555854,1.0047401033877,0.602401743588251,"Isg20"
"Glrx5",47.1605128385888,5,5.26907295572698e-09,-0.112602279279465,-0.271527287891365,-0.0729711307090813,-0.0724493667223256,0.0812001379788677,"Glrx5"
"Gata1",46.5632639082721,5,6.97379065606185e-09,-0.0756687249209467,0.724751419564322,0.918028175447186,1.26201133929863,0.901180530452874,"Gata1"
"Hist1h4d",45.2605473393572,5,1.2842561902815e-08,-0.0232339321637343,-0.167621360857919,-0.51767414816677,-0.183623229651423,-0.108091878911457,"Hist1h4d"
"Son;mKIAA1019",42.802215322561,5,4.0523318700636e-08,0.188521262860174,0.304218561797475,0.0101584723169461,-0.0485858181862942,0.214367962040678,"Son;mKIAA1019"
"Hspe1",42.498403310347,5,4.66926697306747e-08,-0.0245875801808842,-0.17638059051261,-0.206952800425596,-0.157365678575147,-0.121367869683584,"Hspe1"
"Pdia3",42.1979870368706,5,5.37124245081344e-08,-0.0970367736902708,-0.193282412961815,-0.219857165184472,-0.167768890444844,-0.201871843088115,"Pdia3"
"Mt2",42.1010133552611,5,5.61956732259006e-08,0.00300504636121919,0.358300364481374,0.709415394108739,0.550461397524968,0.694504928066578,"Mt2"
"Ifngr1",41.9507699338373,5,6.02707985741802e-08,-0.21358360044766,-0.147148787897854,0.186653025803124,-0.128728506547096,0.106280139432416,"Ifngr1"
"Hdgf",41.1624691603244,5,8.69973725281525e-08,-0.0508561727575219,-0.222302023109032,-0.149529389553888,-0.0688930265139269,-0.092117098398725,"Hdgf"
"Tnfaip2",40.4525874643049,5,1.21021727417236e-07,-0.156616022880689,0.0840019460154276,0.33509282975233,0.320688005239561,0.538589283861941,"Tnfaip2"
"Sun2",40.0823352460758,5,1.43734936397522e-07,-0.232636135756866,0.384190824757555,-0.0698331085043812,-0.143231649122874,-0.218913671454486,"Sun2"
"Nasp",39.8770027719114,5,1.58112751003081e-07,0.0900188868860059,-0.0169463131228585,-0.193312622886341,-0.260068839498949,-0.103928534472026,"Nasp"
"Fam132a",39.2875028839794,5,2.07850058275838e-07,-0.0166671265379736,0.232197798399906,0.311416465161283,0.389779471109638,0.330243509697611,"Fam132a"
"Eif4ebp1",39.2031932369757,5,2.16136281094848e-07,-0.126881215283848,-0.0952887157666883,-0.170157422691211,-0.131688706343627,-0.147672839350726,"Eif4ebp1"
"Cox6b2",39.0981904103433,5,2.26917716505959e-07,0.268589124819176,-0.00406673419581638,0.532000787080144,0.175850254553594,0.422733854598181,"Cox6b2"
"Atp1b2",39.0387955854357,5,2.33251678860569e-07,-0.268273395023413,0.0199428311086285,1.44205562012066,1.18935104523767,2.15741326944171,"Atp1b2"
"Tmem14c",38.6021655168869,5,2.85547163692002e-07,-0.1336460542285,-0.0996093869541885,-0.12212858843403,-0.0560924390502065,-0.101462944914185,"Tmem14c"
"Ddx39",37.9037457681265,5,3.9450099431626e-07,-0.05947316003374,-0.259855351972871,-0.32514919382998,-0.160420127278045,-0.0543126609109657,"Ddx39"
"Mki67",35.9206060951758,5,9.85182460500056e-07,0.244183446841406,-0.086617759048419,-0.582077153519251,0.0239880646410326,-0.234940474837164,"Mki67"
"Rgs10",35.2423901440772,5,1.34601234458298e-06,-0.0708171796852353,-0.228235669993843,-0.232576517076041,-0.281586705515562,-0.103213076045443,"Rgs10"
"Prdx6",34.2947476239327,5,2.07998675938459e-06,0.112846356176984,-0.0878499781233032,0.13321136497625,-0.11891942851871,0.127045691738894,"Prdx6"
"Abcb4",33.5957107023791,5,2.86552661021844e-06,-0.0374330321765632,0.383927708141121,0.867688512124733,0.654391076469316,0.969727591399972,"Abcb4"
"Necap2",33.1551772071086,5,3.50562242334984e-06,-0.126006776544173,-0.25508431669832,-0.0752869740996042,0.0495308705668246,-0.0910350216147744,"Necap2"
"Hspa9",33.085180947339,5,3.6196645646358e-06,0.0995547401112394,-0.142066386334906,-0.464735624854701,0.219395709324115,0.129478493268756,"Hspa9"
"Lyar",32.6368481450979,5,4.4428120917761e-06,-0.0231609922982807,-0.215959695341555,-0.213409857423029,-0.189596049400423,0.0762076156924272,"Lyar"
"Hspd1",32.1803602202721,5,5.47210786328023e-06,0.0631782060278027,-0.23920010607242,-0.0967876695518273,-0.232196922684304,-0.0647739685572523,"Hspd1"
"Eif4g1",31.6057403540309,5,7.11059136093706e-06,-0.0200510127737397,-0.154707334033477,-0.183778890008225,-0.194663820711006,-0.114214940640604,"Eif4g1"
"Atpase6",31.4164215223528,5,7.7507167387525e-06,0.120097758422652,-0.184534951587329,-0.0824552050767874,-0.182022451773346,-0.0219868078097091,"Atpase6"
"Hnrnpab",30.8770364681502,5,9.90571172221344e-06,0.0343632350754645,-0.186692661398068,-0.164791965006529,-0.157107822314661,-0.0695862598931653,"Hnrnpab"
"Ctse",30.3574814404081,5,1.25414471430219e-05,0.173272898297356,0.056818011825625,0.697036495651203,0.926612705041567,0.727659625709266,"Ctse"
"Mat2a",30.304157246023,5,1.28485585532134e-05,0.148212592580477,0.0224817366524162,-0.0439530401580825,0.0423865407674107,0.112344882489428,"Mat2a"
"B2m;BC002288",30.021265425842,5,1.4607115331744e-05,0.153345395186576,-0.0442064072925924,-0.237440065230575,-0.234434327408806,-0.122123090353985,"B2m;BC002288"
"Rsl1d1",29.8069593595309,5,1.60966042113131e-05,0.164756865734099,0.0466100826911354,-0.144397131360071,-0.13404174245177,-0.0806072035938225,"Rsl1d1"
"Smc1a",29.5350072476702,5,1.82055966403416e-05,0.14026875755494,0.0162355744282637,-0.259653724934959,-0.142107055510661,-0.197411521565621,"Smc1a"
"Txnl1",29.2626928545638,5,2.05920001564719e-05,-0.0233353058653335,-0.18552160014078,-0.252455873562043,-0.0657538610379962,-0.0813127339384311,"Txnl1"
"Hist1h1b",29.2387353860333,5,2.08162461297068e-05,-0.093277116861696,-0.102998495255579,-0.338323979793875,-0.0151700669378778,0.0303282339333337,"Hist1h1b"
"Pf4",28.9999877224085,5,2.31877143999082e-05,-0.0542250993939625,2.69777680126718,0.220355152752881,0.995945820399626,0.578532567479982,"Pf4"
"Tmsb4x",28.950511140196,5,2.37117280836863e-05,0.208624732112815,0.1074282075034,-0.13040623262004,-0.335095385256609,-0.154531107079248,"Tmsb4x"
"Cox17",28.196812062994,5,3.33119549268401e-05,-0.149171192045399,-0.0686306971975167,-0.0674199797303996,-0.0835709003461021,0.0818819380304385,"Cox17"
"Plbd1",27.8232971407692,5,3.9410972219045e-05,0.481564525459322,-0.53701620798724,0.0654555631658989,-0.231090864768171,-0.672428117658331,"Plbd1"
"AK031561;Set",27.3608951486583,5,4.85142641021286e-05,0.144690924971311,-0.0103877483111035,-0.143866801148286,-0.0912242014270714,-0.187938472669826,"AK031561;Set"
"Itgb1",27.3407695502231,5,4.89546537388863e-05,0.175284037675495,0.168495991210223,-0.0727276029552722,-0.163176166428644,-0.135029334296806,"Itgb1"
"Rpia",27.2269280583342,5,5.15213904477285e-05,-0.194258581176669,0.196310698505561,-0.0536559107893717,0.154363550776841,0.151182325855678,"Rpia"
"Id2",27.1399501649156,5,5.35719496049802e-05,0.408604470747066,0.097622493759168,0.064566496772704,0.497177291779005,-0.582802769474526,"Id2"
"Prdx2",26.9749072798651,5,5.7687859038924e-05,0.0517795092228101,-0.134482658885961,-0.0965693809197158,-0.10502635219111,0.0434559916718973,"Prdx2"
"Gclm",26.7958699224318,5,6.25076947495806e-05,-0.00508936716787927,0.232465792154728,0.204384641632268,0.213776895744458,0.460089129763293,"Gclm"
"Urod",26.5097024117553,5,7.10531002118264e-05,-0.160429306486677,0.0518854959911615,0.0256126505792274,-0.0250036288243257,0.251945348831931,"Urod"
"Nolc1",25.2476271859094,5,0.000124800595452612,0.0247100704309309,-0.155780195100595,-0.112752582013815,-0.162617868278311,0.0598485360238227,"Nolc1"
"Serpina3f;Serpina3g",24.7680372429304,5,0.00015446165994748,0.158982424677562,0.290596505100069,-0.10068155263142,0.0491429284453365,0.124293658502272,"Serpina3f;Serpina3g"
"Nfe2l2",24.5025610653164,5,0.000173777189245494,0.180018618354072,0.0403316481829272,0.23335249399742,0.220916378767752,-0.00553704299705113,"Nfe2l2"
"MRPL33;Mrpl33",24.2749335191185,5,0.000192228472928657,0.00389381381824212,0.0266207033805055,-0.1770313991176,-0.404082560585218,-0.0389524858154758,"MRPL33;Mrpl33"
"Cldn13",23.8513592308288,5,0.000231866722321339,0.0196311961970308,0.684011272398419,1.17773451116653,3.32917350677789,2.13766459785362,"Cldn13"
"Hba-a2",23.8491713294616,5,0.000232091129676149,0.245620709294918,-0.52487823569504,0.508237551095955,1.66037895448167,2.60749692458898,"Hba-a2"
"Cpsf2",23.7868039125728,5,0.000238579074170575,0.10792571937894,0.344123806373705,0.210671628091597,0.0664710086544614,0.166748127759956,"Cpsf2"
"Idh3a",23.712070197601,5,0.000246589943522113,0.0385225444845681,-0.146346435562905,-0.176692458064977,-0.176690079311146,-0.118390388266919,"Idh3a"
"Ahctf1",23.6365307012937,5,0.000254957314300364,0.0956718428454071,0.11648504933125,0.0444749483257746,0.177898718227079,0.0480377066385762,"Ahctf1"
"E2f4",23.5439818961111,5,0.000265592097710265,-0.083594737075921,-0.110905685900596,-0.18634605467141,-0.201937282044768,-0.0961695359648738,"E2f4"
"Hist1h1d",23.2611286454011,5,0.000300887300858976,-0.0651718671262264,0.19581403273122,-0.469195666148064,-0.068531300619286,-0.147413960406818,"Hist1h1d"
"Sfxn1",22.52798031446,5,0.000415411227199902,-0.0400784111051571,-0.0136767628656088,-0.126388496079572,-0.282311834906564,-0.123842314245237,"Sfxn1"
"Hk1",22.3730608221708,5,0.000444635660616921,-0.0664469938602293,0.0838852098841998,0.137645304748291,-0.022088286063552,0.265145913289536,"Hk1"
